"WBIC","lakename","max_area","max_depth","lower_area","lower_depth","depth_change"
2431300,"chippewa",281.9427709,11,253.74849381,10.3196198943143,0.68038010568571
2425700,"christy",121.8764324,10,109.68878916,7.86531796658848,2.13468203341152
1628450,"clair",51.47568768,18,46.328118912,15.2268754965384,2.77312450346158
1613300,"crooked",174.5303912,13,157.07735208,11.1819283679777,1.8180716320223
2459100,"crooked",168.0282624,10,151.22543616,8.27238698531529,1.72761301468471
2459200,"crooked",250.3118394,13,225.28065546,11.6578982686888,1.34210173131123
1612500,"crystal",116.3384406,9,104.70459654,7.51242128229285,1.48757871770715
1842400,"crystal",92.64291244,67,83.378621196,61.5510977142094,5.44890228579055
1842500,"crystal",89.70810038,46,80.737290342,43.0605179678926,2.93948203210743
2469700,"crystal",14.32766947,22,12.894902523,18.9000855014047,3.09991449859533
1842800,"currier",18.39066567,39,16.551599103,35.4776324674935,3.52236753250655
2092700,"dark",16.26324778,62,14.636923002,59.4881945142168,2.51180548578318
1843500,"day",109.9055078,57,98.91495702,53.2857831918645,3.71421680813549
1445100,"deepwoods",71.00241202,25,63.902170818,21.5714923640261,3.42850763597392
2239100,"deer",142.5128469,18,128.26156221,17.0399692790169,0.96003072098307
2460700,"deer",152.8050263,23,137.52452367,19.7193753690703,3.28062463092973
1844400,"delano",13.53854284,15,12.184688556,13.0791939203599,1.92080607964013
1844500,"dells",109.4891255,42,98.54021295,38.9245216157133,3.07547838428673
1295400,"delton",249.2395494,16,224.31559446,13.5286674574931,2.47133254250692
2461100,"devils",974.9380945,24,877.44428505,18.9388579539251,5.0611420460749
1537100,"diamond",117.2806444,17,105.55257996,14.7681560505289,2.23184394947105
1844700,"diamond",114.8524202,40,103.36717818,35.5127416463785,4.4872583536215
1451700,"dynamite",100.4454004,28,90.40086036,24.9068976183112,3.09310238168883
1315000,"eaglenestflowage",350.4005025,12,315.36045225,11.2110868593368,0.788913140663212
1523000,"easthorsehead",191.4666162,26,172.31995458,21.7569585879158,4.24304141208419
2463300,"ellison",118.3879714,18,106.54917426,13.5116443189838,4.48835568101623
1764000,"esadore",47.5315237,36,42.77837133,33.4698650383843,2.53013496161574
2130100,"fallcreekpond",14.96280595,10,13.466525355,9.65613681170052,0.343863188299482
1571100,"fifth",237.9843358,14,214.18590222,12.6361900605532,1.36380993944684
2175700,"finley",57.98676596,30,52.188089364,25.2998683963151,4.7001316036849
1849100,"fish",106.8392236,40,96.15530124,38.2482061368072,1.75179386319282
2464400,"fish",83.16971996,7,74.852747964,4.99679487179487,2.00320512820513
2464500,"fish",330.1006409,29,297.09057681,25.4539850286218,3.54601497137825
2307300,"fisher",441.2113614,21,397.09022526,19.0832630529786,1.91673694702139
2343200,"fishtrap",339.1014727,34,305.19132543,30.685449121644,3.31455087835598
2401100,"fishtrap",262.603806,11,236.3434254,7.90123975625132,3.09876024374868
1593800,"found",336.3575863,21,302.72182767,17.9827486107655,3.01725138923447
1572000,"fourth",252.9495855,12,227.65462695,10.8982415935834,1.10175840641664
2465700,"george",49.75568259,50,44.780114331,47.7229601518027,2.27703984819734
2423000,"ghost",384.051228,12,345.6461052,9.76785714285714,2.23214285714286
1589300,"gilmore",313.5280476,24,282.17524284,20.5345162184641,3.4654837815359
1851000,"goodman",13.80442165,15,12.423979485,13.0894883649841,1.91051163501586
2314100,"grandportage",147.4983374,33,132.74850366,29.2862992862993,3.71370071370071
1764400,"grassyknoll",59.11637357,6,53.204736213,2.61148224557848,3.38851775442152
2467200,"green",250.939177,6,225.8452593,4.21683309557775,1.78316690442225
1539700,"gunlock",263.8238804,26,237.44149236,23.4383058662796,2.56169413372043
2150200,"hallie",78.63694176,13,70.773247584,11.4642162383536,1.53578376164636
2328400,"hiawthat",36.28192137,59.04,32.653729233,53.8670287746524,5.17297122534756
2344000,"high",741.0649349,36,666.95844141,31.0961161239702,4.90388387602981
1564600,"hilt",60.87510888,64,54.787597992,61.7397724704287,2.26022752957131
1568900,"hixon",57.50282572,28,51.752543148,25.7133449190524,2.28665508094759
1588000,"horsehead",377.1936946,11,339.47432514,7.48333098888733,3.51666901111267
1513900,"hultamn",181.9201652,14,163.72814868,10.5761225291269,3.42387747087315
2400600,"hunter",133.6977628,10,120.32798652,9.02175614337142,0.97824385662858
1249000,"indian",64.15873797,7,57.742864173,4.887260586632,2.112739413368
1598900,"indian",354.4493451,26,319.00441059,24.4824111451725,1.51758885482745
2448700,"indian",75.70296689,9,68.132670201,5.84545696775913,3.15454303224087
2470600,"island",251.9617118,44,226.76554062,40.7975474317446,3.20245256825544
2470800,"island",63.05142549,51,56.746282941,46.6911364000641,4.30886359993588
1855900,"jag",161.7092101,27,145.53828909,23.5860985934726,3.41390140652738
