"WBIC","lakename","max_depth","max_area","lower_depth","lower_area","area_pcnt_loss"
1612500,"crystal",9,116.3384406,8,108.517782828066,6.72233333333333
1842400,"crystal",67,92.64291244,66,91.0780383902362,1.689146
1842500,"crystal",46,89.70810038,45,86.6562667780207,3.40195990000001
2469700,"crystal",22,14.32766947,21,13.8891472664215,3.06066666666667
1842800,"currier",39,18.39066567,38,17.8988340137722,2.67435483333334
2092700,"dark",62,16.26324778,61,15.6157753593826,3.9812
1843500,"day",57,109.9055078,56,106.946458463966,2.69235764
1445100,"deepwoods",25,71.00241202,24,69.2034475741199,2.53366666666668
2239100,"deer",18,142.5128469,17,127.668233724073,10.4163333333333
2460700,"deer",23,152.8050263,22,148.147223488323,3.04819999999999
1844400,"delano",15,13.53854284,14,12.8337063141527,5.20614761999999
1844500,"dells",42,109.4891255,41,106.029302272909,3.15996973333333
1295400,"delton",16,249.2395494,15,239.154320273078,4.0464
2461100,"devils",24,974.9380945,23,959.521073432307,1.58133333333333
1537100,"diamond",17,117.2806444,16,112.025767847014,4.4806
1844700,"diamond",40,114.8524202,39,112.292896964452,2.22853226
1451700,"dynamite",28,100.4454004,27,97.198000605068,3.23299999999999
1315000,"eaglenestflowage",12,350.4005025,11,305.984902804775,12.6756666666667
1523000,"easthorsehead",26,191.4666162,25,186.954130989398,2.3568
2463300,"ellison",18,118.3879714,17,116.106240564551,1.92733333333334
1764000,"esadore",36,47.5315237,35,45.6529075620827,3.95235833333333
2130100,"fallcreekpond",10,14.96280595,9,10.6114224756607,29.0813333333333
1571100,"fifth",14,237.9843358,13,220.534372361801,7.33239999999999
2175700,"finley",30,57.98676596,29,56.753039527435,2.12759999999999
1849100,"fish",40,106.8392236,39,100.740376821003,5.7084342
2464400,"fish",7,83.16971996,6,79.0178875395968,4.99199999999999
2464500,"fish",29,330.1006409,28,322.5083261593,2.29999999999999
2307300,"fisher",21,441.2113614,20,418.192482253039,5.2172
2343200,"fishtrap",34,339.1014727,33,328.870781268641,3.017
2401100,"fishtrap",11,262.603806,10,254.2617584294,3.17666666666667
1593800,"found",21,336.3575863,20,325.262270719917,3.29866666666667
1572000,"fourth",12,252.9495855,11,229.990869321678,9.0764
2465700,"george",50,49.75568259,49,47.5705788629225,4.39166666666667
2423000,"ghost",12,384.051228,11,366.8457329856,4.48
1589300,"gilmore",24,313.5280476,23,304.480882258454,2.88560000000001
1851000,"goodman",15,13.80442165,14,13.0818706119957,5.2342
2314100,"grandportage",33,147.4983374,32,144.081292583567,2.31666666666667
1764400,"grassyknoll",6,59.11637357,5,58.4437512155575,1.13779366666667
2467200,"green",6,250.939177,5,236.86650795384,5.608
1539700,"gunlock",26,263.8238804,25,253.525075522119,3.90366666666667
2150200,"hallie",13,78.63694176,12,73.5166283588672,6.51133333333334
2328400,"hiawthat",59.04,36.28192137,58.04,35.5805464775162,1.933125
2344000,"high",36,741.0649349,35,725.953138747519,2.0392
1564600,"hilt",64,60.87510888,63,58.1817911461192,4.42433333333334
1568900,"hixon",28,57.50282572,27,54.988112145613,4.3732
1588000,"horsehead",11,377.1936946,10,366.467814700354,2.84359999999999
1513900,"hultamn",14,181.9201652,13,176.837922184863,2.79366666666668
