"WBIC","lakename","max_depth","max_vol","lower_depth","lower_vol","vol_pcnt_loss"
1849100,"fish",40,1676.410082391,39,1578.7191289595,5.82738999589955
2464400,"fish",7,368.361600643039,6,291.419629313643,20.887619989456
2464500,"fish",29,3420.25196451872,28,3101.53979572977,9.318382741834
2307300,"fisher",21,3903.76311973576,20,3520.09895620316,9.82805953550193
2343200,"fishtrap",34,5243.53624540428,33,4930.01150128268,5.97926150308187
2401100,"fishtrap",11,1996.04890336794,10,1745.95816872384,12.5292889478871
1593800,"found",21,3536.98333482903,20,3217.26872189916,9.03918912429171
1572000,"fourth",12,1428.64914092058,11,1233.09634586639,13.687951047812
2465700,"george",50,772.995328695374,49,726.51730169599,6.01271770656457
2423000,"ghost",12,2079.925438041,11,1721.6824525626,17.2238378802567
1589300,"gilmore",24,3478.28172771464,23,3187.3715934685,8.36361620532891
1851000,"goodman",15,121.842311919936,14,109.844267864947,9.84719008194237
2314100,"grandportage",33,2204.86267180679,32,2062.48990163144,6.45721713174463
1764400,"grassyknoll",6,287.002236136228,5,228.894796097892,20.246337039254
2467200,"green",6,1073.94063171925,5,844.110458288485,21.400640467698
1539700,"gunlock",26,3252.1596119296,25,3003.78393884643,7.6372534783374
2150200,"hallie",13,470.335805545445,12,399.379333887144,15.0863427410152
2328400,"hiawthat",59.04,1017.94813562438,58.04,983.966723901722,3.33822623505372
2344000,"high",36,12844.2560220764,35,12140.9705775576,5.47548603290069
1564600,"hilt",64,1430.01566082236,63,1373.18052854318,3.97444124818149
1568900,"hixon",28,673.117152341433,27,621.901110557401,7.60878572264541
1588000,"horsehead",11,2824.96200021113,10,2474.58300536025,12.4029631132985
1513900,"hultamn",14,1449.72725408376,13,1275.43045340646,12.0227304954304
2400600,"hunter",10,668.36848601348,9,568.838523474648,14.891480466484
1249000,"indian",7,282.009700667766,6,220.569272187448,21.7866365358476
1598900,"indian",26,3511.59700728127,25,3215.53787504632,8.43089715650956
2448700,"indian",9,466.336332279751,8,394.08920582828,15.4924936039792
2470600,"island",44,3531.44118082076,43,3289.87288963251,6.84050162013758
2470800,"island",51,1235.52263190366,50,1174.33658283678,4.95224024934329
1855900,"jag",27,1768.01126405608,26,1618.1440194117,8.47660010381153
1857400,"jute",23,3059.56862373622,22,2872.68941092652,6.10802488167378
1598300,"kathan",14,1110.02518119516,13,917.671766464911,17.3287433464476
2166100,"kathyrn",58,946.541275585717,57,886.725295685239,6.31942646806023
2081700,"kidney",32,374.254245977971,31,344.067412118037,8.06586276157042
1631700,"kildare",35,606.38337871062,34,559.263104287407,7.77070679664856
1858200,"kirby",19,707.736309024208,18,620.658488021858,12.3037097139198
1858300,"knickerbocker",25,202.864033460168,24,189.574058086548,6.55117378223157
1630600,"landingmill",23,827.14122303824,22,726.413308302352,12.1778375844812
2475300,"lily",22,986.978666500942,21,863.881427797658,12.4721276032938
2475900,"littlebass",4,165.474972363439,3,124.106229272579,25
2390500,"littlecourtoreilles",46,3407.6536388512,45,3208.39966625136,5.84724839191735
2324000,"littlecrawlingstone",44,2080.27730342752,43,1976.14985600704,5.00545995713729
2335500,"littlecrooked",30,1717.79460125311,29,1586.87403203429,7.6214332681753
2107600,"littledevils",34,741.474781165436,33,692.678632753199,6.58095860462572
1861400,"littledummy",44,530.230059681633,43,494.233787818984,6.78880255945179
2332300,"littlejohn",16.4,1810.55338908275,15.4,1675.43643431666,7.46274346731844
1542100,"littlemuskie",19,776.615461395933,18,704.704916432812,9.25947892330978
2313100,"littlepike",20,1020.61339061524,19,929.647316389378,8.91288269018545
2477700,"littlesand",21,836.474752082388,20,767.927140910077,8.19482130233621
1540400,"littlespider",23,2882.54827329417,22,2666.80219150476,7.48456092785058
1605600,"lonestone",30,2436.72225097116,29,2284.6572714675,6.24055447612272
1000900,"long",20,651.552793778372,19,589.519164160566,9.52089074134282
1602300,"long",88,38677.1899347725,87,37821.5047719475,2.21237676332754
