"WBIC","lake","max_depth","max_vol","vol_pcnt_loss_1ft_depth","depth_change_10pcnt_vol_loss","max_area","area_pcnt_loss_1ft_depth","depth_change_10pcnt_area_loss"
2448700,"indian",9,466.336332279751,15.4924936039792,0.645473882747419,75.70296689,3.04333333333334,3.15454303224087
2470600,"island",44,3531.44118082076,6.84050162013758,1.46188109517601,251.9617118,2.75,3.20245256825544
2470800,"island",51,1235.52263190366,4.95224024934329,2.01928813961037,63.05142549,1.97233333333334,4.30886359993588
1855900,"jag",27,1768.01126405608,8.47660010381153,1.17971826882614,161.7092101,2.9292,3.41390140652738
1857400,"jute",23,3059.56862373622,6.10802488167378,1.63719044924056,190.5657064,1.28966666666667,5.66083135723253
1598300,"kathan",14,1110.02518119516,17.3287433464476,0.577075890621348,214.0756733,10.147,0.985512959495418
2166100,"kathyrn",58,946.541275585717,6.31942646806023,1.58242208379862,63.31307775,3.68233333333334,2.71566941251018
2081700,"kidney",32,374.254245977971,8.06586276157042,1.23979297635024,38.76791886,14.7563333333333,0.677675122546251
1631700,"kildare",35,606.38337871062,7.77070679664856,1.2868842258098,54.29791593,8.81266666666667,1.13473031242908
1858200,"kirby",19,707.736309024208,12.3037097139198,0.812762998519581,97.66029003,7.224,1.38427464008859
1858300,"knickerbocker",25,202.864033460168,6.55117378223157,1.52644401330377,14.73389731,3.91999999999999,2.55102040816326
1630600,"landingmill",23,827.14122303824,12.1778375844812,0.821163850365643,125.0610416,7.7828,1.28488461736136
2475300,"lily",22,986.978666500942,12.4721276032938,0.801787819855136,188.5016595,13.8788,0.720523388189179
2475900,"littlebass",4,165.474972363439,25,0.399999999999999,73.54987361,21.877080775,0.457099377327686
2390500,"littlecourtoreilles",46,3407.6536388512,5.84724839191735,1.71020612256236,221.4056032,4.00199999999999,2.49875062468766
2324000,"littlecrawlingstone",44,2080.27730342752,5.00545995713729,1.99781839943419,113.2990016,3.238,3.08832612723904
2335500,"littlecrooked",30,1717.79460125311,7.6214332681753,1.31208916330172,153.6770697,5.92319999999999,1.68827660723933
2107600,"littledevils",34,741.474781165436,6.58095860462572,1.51953546599898,51.98961022,4.095,2.44200244200244
1861400,"littledummy",44,530.230059681633,6.78880255945179,1.47301382127801,42.68678513,10.449,0.957029380801991
2332300,"littlejohn",16.4,1810.55338908275,7.46274346731844,1.3399897830862,151.0370109,3.21356707317073,3.11180684028271
1542100,"littlemuskie",19,776.615461395933,9.25947892330978,1.07997437899297,79.07384454,3.62359999999999,2.75968649961364
2313100,"littlepike",20,1020.61339061524,8.91288269018545,1.12197145947087,95.97855422,3.48166666666667,2.8721876495931
2477700,"littlesand",21,836.474752082388,8.19482130233621,1.22028286292822,70.81657421,2.136,3.98925915725695
1540400,"littlespider",23,2882.54827329417,7.48456092785058,1.33608371905816,222.6585154,2.06966666666666,3.65599584703236
1605600,"lonestone",30,2436.72225097116,6.24055447612272,1.60242171400978,170.7664694,4.38060000000001,2.28279231155549
1000900,"long",20,651.552793778372,9.52089074134282,1.05032189441863,69.45488397,4.274,2.33972859148339
1602300,"long",88,38677.1899347725,2.21237676332754,4.52002577759832,885.843712,1.36179999999999,6.31392571852096
2165400,"long",15,214.904038758731,11.2637255492879,0.887805722559728,30.47776275,8.23099999999999,1.21491920787268
2478200,"long",17,2996.87777044294,8.56222169929204,1.16792117177097,273.3414847,4.08333333333333,2.44897959183673
2483100,"long",31,733.632180617889,6.04758109487954,1.65355368421053,46.70210638,3.33333333333334,3
1407000,"lost",23,514.652305023352,7.47073824625646,1.33855579868709,42.06600283,3.44,2.90697674418605
1593400,"lost",20,6224.79505368354,8.26549068415413,1.20984952764766,538.570492,2.97833333333333,3.35511837279093
2166600,"lost",25,253.466322450379,7.15635731986199,1.39735895694387,20.19635879,4.07479999999999,2.45410817708844
2339800,"lostcanoe",41,6114.85238602242,4.19837700837851,2.38187279990422,279.440255,2.47835365853658,4.034936646574
2317600,"lowarsugarbush",61,4178.91452133329,3.98675716467654,2.50830426508089,179.6425269,2.9034,3.44423779017703
2479900,"lowerpine",102,3671.16280416487,2.51974711741999,4.04755414614398,96.1885202,2.55366666666666,3.68532083211251
1544700,"madeline",17,1522.66733284768,10.8365169991704,0.922805731838523,171.5228295,2.53366666666667,3.51819850955827
2480800,"mallard",35,1436.8895668552,6.60243650201505,1.51459237766967,103.4814473,5.548,1.80245133381398
1678200,"marinuka",7,371.60781207615,24.9117854622442,0.401416430594901,116.5554182,13.7166666666667,0.729040097205345
2171200,"marshmiller",14,3113.57159053588,13.1058327620349,0.76301904515126,440.5643212,4.91866666666667,2.03307129303334
1003900,"mcgrath",20,505.987105478175,9.10290770154798,1.09855008178315,51.0765315,3.92899999999999,2.54517688979384
2481600,"mclain",30,1525.35019974439,9.03139241027832,1.10724897620652,142.8234536,2.36333333333333,3.7069112109802
1587600,"mcnaughton",9,476.384920848869,21.552779074903,0.463977288740663,120.5718793,9.896,1.01050929668553
2424800,"meadow",5,82.2090181631115,20,0.5,32.228427,19.59341468,0.510375560529911
2317700,"middlesugarbush",57,3756.98738694135,5.9340375250063,1.68519325296808,254.2579991,8.21133333333333,1.21782901680604
2482900,"minnow",50,1593.09511954385,3.46937462302088,2.88236385129626,56.32483878,1.248,5.66669956573233
1005400,"mission",26,1294.94998669704,7.75884005137583,1.28885244879185,104.4413472,2.53299999999999,3.32798306126631
1005700,"moccasin",30,1352.11403643673,6.80612035110828,1.4692658201925,94.23152632,2.34,3.56378600823045
2103200,"montanis",14,1720.32622741284,11.6315482829839,0.859730773299482,211.6794412,3.64666666666666,2.74223034734917
1544000,"mud",26,528.463171933311,7.2103125027774,1.38690243954725,40.84188621,4.46933333333333,2.23747016706444
2094600,"mud",15,1796.59665477494,15.6699149125246,0.638165558385211,331.9245981,10.1226666666667,0.987881981032666
2110900,"murphydamflowage",10,923.0662288373,14.2909615026967,0.69974298077236,171.6693749,9.26300000000001,1.07956385620209
1555500,"muskellunge",20,1770.92392465392,7.2966751514523,1.37048721403058,159.7085194,3.8182,2.61903514745168
1596600,"muskellunge",19,2496.05453454229,10.2490650330468,0.975698755716373,269.8732007,3.471,2.88101411696917
2405900,"muskellunge",8,117.905550491806,16.9979903966955,0.588304838785181,20.84851596,2.58033333333334,3.20942845223196
1869700,"nebish",52,1637.29516089467,5.53330320056068,1.80723875730987,93.028742,1.74299999999999,4.20647363762802
2486100,"nicaboyne",34,3417.5316288095,8.11369351468598,1.23248431579277,289.4537847,2.80200000000001,3.12726038880683
2436000,"north",30,1789.82702981121,7.00477482489909,1.4275976387498,132.1597567,3.42333333333333,2.92112950340798
2323800,"northplacidtown",23,276.780431485297,11.310042067528,0.884170009297385,33.26230122,3.925,2.54777070063694
2310400,"northturtle",58,7235.83442929734,4.64215799170889,2.15417054263566,359.1540938,2.59,3.86100386100386
2485900,"northtwin",20,683.722909910568,13.3096080292181,0.751336927281962,98.31232708,4.958,2.01694231544978
2178100,"oliver",31,248.077432266566,5.70134905879195,1.75397084038894,15.06305883,2.44119999999999,4.09634605931509
1518200,"oneida",34,3381.8745091224,6.95216800670288,1.43840022139261,255.1588792,3.1424,3.18228105906313
1872100,"pallette",60,5743.50483687295,2.97498819013181,3.36135788140958,180.2791629,2.08800000000001,4.78927203065134
1009400,"paradise",48,1578.10586290286,4.72776156067799,2.11516589228454,81.37456359,3.32559999999999,3.00697618474862
1872700,"payment",18,537.816572121858,10.340359051069,0.967084406896511,64.98304453,5.76820000000001,1.73364307756319
1481600,"pesobic",11,944.613667528325,14.83544757791,0.674061227171199,147.3001345,3.24166666666667,3.02519468621164
1558400,"pickerel",14,324.750916533781,12.7970078317486,0.781432670158303,48.96741494,6.0522,1.65229172862761
1619700,"pickerel",26,3263.20199383849,7.75323455292837,1.28978427412892,270.3290963,4.27266666666666,2.34045872991106
2458900,"pickerel",43,206.227829228914,6.29194038670482,1.58933482922541,15.00795993,5.41639999999999,1.8462447382025
2489200,"pickerel",38,1048.13338294927,7.82548006922422,1.27787687292536,88.82983141,5.10966666666666,1.95707482549416
1529700,"pier",15,1736.38296615341,12.6391290425873,0.791193757600325,261.6463003,6.4488,1.55067609477732
2157900,"pike",37,2339.49097512985,7.62349021308417,1.3117351397444,188.9219958,3.73033333333332,2.68072558305781
2299900,"pike",80,6647.56415588166,3.04543385934528,3.28360439328334,213.7999468,2.12399999999999,4.70809792843691
1012000,"pine",21,873.513876211053,11.1709864426135,0.89517609312043,104.0144506,4.124,2.42483026188167
1581700,"pine",32,3253.43647321527,6.55838213081942,1.52476629152296,242.0729673,4.7424,2.10863697705803
2309700,"pine",21,1814.42306929077,9.22092494656966,1.08448990290504,186.6125955,4.1382,2.41650959354308
