"WBIC","lake","depth_feet","area_acres","volume_acre_ft"
2453300,"bigbass",2,7.473920883924,7.473920883924
2453300,"bigbass",0,0,0
1834700,"bigbeaver",43,15.87439418,325.887343048522
1834700,"bigbeaver",38,14.1444027022636,250.840350842863
1834700,"bigbeaver",33,12.1212111640226,185.176316177147
1834700,"bigbeaver",28,9.9957885272624,129.883816948935
1834700,"bigbeaver",23,7.9556113872488,85.0053171626566
1834700,"bigbeaver",18,6.0924337423422,49.8852043386791
1834700,"bigbeaver",13,4.2586237266686,24.0075606661521
1834700,"bigbeaver",8,2.1981273621046,7.8656829442191
1834700,"bigbeaver",3,0.5925911347394,0.8888867021091
1834700,"bigbeaver",0,0,0
1835100,"bigdummy",54,113.7264379,1349.8896018266
1835100,"bigdummy",51,106.776615279931,1019.1350220567
1835100,"bigdummy",49,81.251853557655,831.106553219115
1835100,"bigdummy",44,31.386222331642,549.511363495873
1835100,"bigdummy",40,26.891753505834,432.955411820921
1835100,"bigdummy",34,21.510218464406,287.749495910201
1835100,"bigdummy",29,16.587000967715,192.506447329898
1835100,"bigdummy",24,11.883275496171,121.330756170183
1835100,"bigdummy",19,8.40438376081,70.611608027731
1835100,"bigdummy",14,5.489575157433,35.8767107321235
1835100,"bigdummy",9,3.476617206603,13.4612298220335
1835100,"bigdummy",4,1.059930401228,2.119860802456
1835100,"bigdummy",0,0,0
2314300,"bigmartha",55,145.6419076,2051.81047636418
2314300,"bigmartha",50,98.452473118524,1441.57452456787
2314300,"bigmartha",45,76.853778221444,1003.30889621795
2314300,"bigmartha",40,57.796534611984,666.68311413438
2314300,"bigmartha",35,34.926385861556,434.87581295053
2314300,"bigmartha",30,27.862753342956,277.90296493925
2314300,"bigmartha",25,21.026322200212,155.68027608133
2314300,"bigmartha",20,13.929192042864,68.29149047364
2314300,"bigmartha",15,3.907572380908,23.69957941421
2314300,"bigmartha",10,1.845282969292,9.31744103871
2314300,"bigmartha",5,0.806856168104,2.68709319522
2314300,"bigmartha",0,0.267981109984,0
2079000,"bigmoon",48,186.9944919,4453.52065732781
